n_fft,hop_length,n_mels,fmin,fmax,ARI,NMI
1024,256,128,10,2000,0.18671120215891643,0.5095022780890895
1024,256,128,10,4000,0.29775419112220153,0.5397592895420981
1024,256,128,10,6000,0.3166208826874244,0.599910173184024
1024,256,128,10,8000,0.25150166334842394,0.5521889450763389
1024,256,128,10,12000,0.40122957128881515,0.6473769590137919
1024,256,128,20,2000,0.28170935677020775,0.554527137196473
1024,256,128,20,4000,0.2870080001680928,0.5791670331691277
1024,256,128,20,6000,0.3243398657911085,0.5797312255925783
1024,256,128,20,8000,0.3332399998035084,0.623626823373312
1024,256,128,20,12000,0.2949856611360689,0.5815360536786685
1024,256,128,50,2000,0.239685226518068,0.5164960197844743
1024,256,128,50,4000,0.2857940749085298,0.5707049010533227
1024,256,128,50,6000,0.25623477307346043,0.5648594865194984
1024,256,128,50,8000,0.3098924615602601,0.5950830695884975
1024,256,128,50,12000,0.2249597700251535,0.5446908458440151
1024,256,256,1,2000,0.12735771364960727,0.47188179791169804
1024,256,256,1,4000,0.20214881608691931,0.4939541688728194
1024,256,256,1,6000,0.28731510533393095,0.557136452520796
1024,256,256,1,8000,0.13476945156523668,0.4486390471782782
1024,256,256,1,12000,0.32125248127041045,0.6035522767025885
1024,256,256,5,2000,0.1272772647866234,0.46272409432977385
1024,256,256,5,4000,0.09260737593642461,0.38840912174403175
1024,256,256,5,6000,0.265135254042956,0.5477083426596205
1024,256,256,5,8000,0.32383675226941583,0.5914263746545092
1024,256,256,5,12000,0.3545613139545972,0.6428967503687687
1024,256,256,10,2000,0.2151034843440123,0.5307195359713224
1024,256,256,10,4000,0.25344657988425684,0.564826905996827
1024,256,256,10,6000,0.2392137083032294,0.515985275508315
1024,256,256,10,8000,0.3232004874692049,0.5782835006798656
1024,256,256,10,12000,0.2323651878359715,0.5107898019219171
1024,256,256,20,2000,0.2034510757053519,0.5108718542712904
1024,256,256,20,4000,0.24256489683443183,0.5229771137133353
1024,256,256,20,6000,0.24670274160288969,0.5244894236671289
1024,256,256,20,8000,0.20919823698324452,0.508141970975113
1024,256,256,20,12000,0.30313787733888775,0.57408404623744
1024,256,256,50,2000,0.0889367745727019,0.42164499944394346
1024,256,256,50,4000,0.1475843251236119,0.4767233351165691
1024,256,256,50,6000,0.26168891943337963,0.533706247831523
1024,256,256,50,8000,0.3008113252318613,0.5504090365666255
1024,256,256,50,12000,0.3054612286873603,0.5759737076662464
1024,512,64,1,2000,0.23847208099385472,0.5344516040451782
1024,512,64,1,4000,0.31247677183193245,0.5973350304821008
1024,512,64,1,6000,0.28743965062640475,0.5852890356286082
1024,512,64,1,8000,0.23147479596257364,0.5258738426283515
1024,512,64,1,12000,0.24663702936394896,0.5584155805055583
1024,512,64,5,2000,0.1873301129631516,0.4810419466865944
1024,512,64,5,4000,0.20474118796057889,0.5145560477938369
1024,512,64,5,6000,0.28743965062640475,0.5852890356286082
1024,512,64,5,8000,0.2939850394507634,0.5638020469691208
1024,512,64,5,12000,0.26102255496087623,0.5368526367542382
1024,512,64,10,2000,0.16515036579591796,0.48209395484591877
1024,512,64,10,4000,0.2249597700251535,0.5089925990689304
1024,512,64,10,6000,0.2748150391998809,0.5697412635351751
1024,512,64,10,8000,0.2939850394507634,0.5638020469691208
1024,512,64,10,12000,0.2521643858059297,0.5364040240661332
1024,512,64,20,2000,0.16204320379915446,0.4807447283200749
1024,512,64,20,4000,0.24024277991412057,0.5393849814611102
1024,512,64,20,6000,0.2748150391998809,0.5697412635351751
1024,512,64,20,8000,0.2759187900756964,0.5612176110819787
1024,512,64,20,12000,0.3022154583924104,0.5610335347093213
1024,512,64,50,2000,0.293231285572724,0.5786260941173764
1024,512,64,50,4000,0.2027790150572647,0.5088755823556412
1024,512,64,50,6000,0.2744865011294572,0.573887315452197
1024,512,64,50,8000,0.30736464267255825,0.5653260616125589
1024,512,64,50,12000,0.1743209590548445,0.5099264450308197
1024,512,128,1,2000,0.14436815735758027,0.46497345206540464
1024,512,128,1,4000,0.2102979461961238,0.5264113592493523
1024,512,128,1,6000,0.06695430353037508,0.37542798012875117
1024,512,128,1,8000,0.16862640164385498,0.49866471984054916
1024,512,128,1,12000,0.17696080498053599,0.5044137966311306
1024,512,128,5,2000,0.21923567506610245,0.4943366745652445
1024,512,128,5,4000,0.22771198558566108,0.5382269234097783
1024,512,128,5,6000,0.16072721692299577,0.4535795997345884
1024,512,128,5,8000,0.22493380687818992,0.5613194962401791
1024,512,128,5,12000,0.2640258063144693,0.5540792465989692
1024,512,128,10,2000,0.16741696009825624,0.45648697505517943
1024,512,128,10,4000,0.1816138561649797,0.5046580393244927
1024,512,128,10,6000,0.21437864546025992,0.5241327042442252
1024,512,128,10,8000,0.2633679698199276,0.5818884216614925
1024,512,128,10,12000,0.26140141806922745,0.5664644212785666
1024,512,128,20,2000,0.17015424178471253,0.49265569417468175
1024,512,128,20,4000,0.09573649449299172,0.43892122760827296
1024,512,128,20,6000,0.20654312766309002,0.5184092387449576
1024,512,128,20,8000,0.17871550233719666,0.47496537783096215
1024,512,128,20,12000,0.124618507851391,0.4125923867831992
1024,512,128,50,2000,0.20752493243275225,0.5097698291925465
1024,512,128,50,4000,0.07742989592548014,0.40957579057884963
1024,512,128,50,6000,0.1732771607983255,0.49636015452268617
1024,512,128,50,8000,0.23031210368966354,0.5504132210855125
1024,512,128,50,12000,0.1640968628540925,0.47904834856064976
1024,512,256,1,2000,0.1577055971509104,0.5009241228669526
1024,512,256,1,4000,0.08409105191157774,0.41033403146021197
1024,512,256,1,6000,0.1383894744093132,0.4604262269616629
1024,512,256,1,8000,0.16625277614435466,0.4515938225509268
1024,512,256,1,12000,0.2310955827302221,0.5050293035603389
1024,512,256,5,2000,0.18948405536138208,0.5110298741424794
1024,512,256,5,4000,0.19896329916586705,0.49455392429352546
1024,512,256,5,6000,0.2350576893348511,0.5319596598328812
1024,512,256,5,8000,0.12913419001474616,0.43933589514160576
1024,512,256,5,12000,0.2353919012106626,0.4980869432734544
1024,512,256,10,2000,0.13577821849662283,0.46813982445331614
1024,512,256,10,4000,0.13622530537677505,0.464754963928572
1024,512,256,10,6000,0.2377220262085059,0.5427078200261661
1024,512,256,10,8000,0.16640228852885666,0.5018444106874382
1024,512,256,10,12000,0.13986636118830445,0.4270824061337474
1024,512,256,20,2000,0.15113996748972927,0.46256014619680313
1024,512,256,20,4000,0.11541123574134442,0.42278401857731696
1024,512,256,20,6000,0.1316678904911442,0.45683753222890355
1024,512,256,20,8000,0.16172139980434125,0.49534279970111633
1024,512,256,20,12000,0.14011915551131382,0.4477735253770666
1024,512,256,50,2000,0.036436236585974544,0.3437720702606897
1024,512,256,50,4000,0.10910261669721817,0.4266528654437777
1024,512,256,50,6000,0.11695895531082952,0.4501990336606631
1024,512,256,50,8000,0.1041147219335325,0.4304829217630187
1024,512,256,50,12000,0.22886851957088508,0.4929360852414916
